model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
BasicVAE,mel,16,1.0,0.001,60,2,KMeans,all,0.6590156555175781,35491.528947383806,0.5518910154865149,0.0021372802841308825,0.0003273401989725634,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,2,KMeans,labeled_only,0.6576387882232666,19638.982083247105,0.5487220075069791,-0.0002568198016251939,0.0004886559136806551,0.1251474725474181
BasicVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6590156555175781,35491.528947383806,0.5518910154865149,-2.0802971835441015e-05,2.1086167079582162e-05,0.5016734102602528
BasicVAE,mel,16,1.0,0.001,60,2,GMM,all,0.5933020710945129,30192.122306090227,0.6368601941515214,0.002040692834713178,0.00019565364007063883,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,2,GMM,labeled_only,0.5923396348953247,16765.516192783307,0.634360006620792,-0.00036909534352096515,0.0002722181841632937,0.1258734912423995
BasicVAE,mel,16,1.0,0.001,60,2,KMeans,language,0.6590156555175781,35491.528947383806,0.5518910154865149,-2.0802971835441015e-05,2.1086167079582162e-05,0.5016734102602528
BasicVAE,mel,16,1.0,0.001,60,10,KMeans,all,0.49971193075180054,86788.46681838494,0.5619600123130579,0.00040971033571905914,0.0014736086009894793,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,10,KMeans,labeled_only,0.49897539615631104,47966.83687077196,0.5592940081604543,-0.00016939543169409982,0.0023158802907461322,0.13277066884472274
BasicVAE,mel,16,1.0,0.001,60,10,GMM,all,0.24368339776992798,14806.132272941883,2.7015214984674167,0.0014510357543275599,0.0018566826866587398,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,10,GMM,labeled_only,0.2447161078453064,8200.702187100009,2.553645474568071,-0.00020357961999027595,0.0029197651700990927,0.13168164080225067
BasicVAE,mel,16,1.0,0.001,60,18,KMeans,all,0.46615296602249146,115286.21375115564,0.6212235450611155,0.0003944901756261636,0.0027025680795682155,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,18,KMeans,labeled_only,0.46519988775253296,63353.19652723012,0.6283157059747404,-5.301614838884252e-05,0.004352378245072324,0.13649151465650242
BasicVAE,mel,16,1.0,0.001,60,18,GMM,all,0.12072530388832092,12420.02024640752,4.373991093031316,0.0009039662071081929,0.0027132111670963763,0.44957290573954745
BasicVAE,mel,16,1.0,0.001,60,18,GMM,labeled_only,0.1173042431473732,6691.516754406716,4.2047661339910105,-0.00046169813758894644,0.00432310352441653,0.13603775297213902
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,KMeans,all,0.5559018850326538,34202.15322854856,0.6292068814431233,-0.0005577273134224507,0.0002796556922009488,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,KMeans,labeled_only,0.5594074130058289,19019.77379278057,0.6259733232605065,5.45637919729554e-05,0.00038924847715483775,0.1268717669479989
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,KMeans,language,0.5559018850326538,34202.15322854856,0.6292068814431233,7.443543428868992e-05,8.893740404611691e-05,0.5055697087766622
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,GMM,all,0.515882134437561,28254.65708328832,0.6411518018591257,0.001291542355807833,0.0002438246997112743,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,GMM,labeled_only,0.5171121954917908,15611.317682046898,0.6414502787945238,6.256346764666926e-05,0.00027255178505514426,0.12451220618930937
BetaVAE_b2.0,mel,16,2.0,0.001,60,2,KMeans,language,0.5559018850326538,34202.15322854856,0.6292068814431233,7.443543428868992e-05,8.893740404611691e-05,0.5055697087766622
BetaVAE_b2.0,mel,16,2.0,0.001,60,10,KMeans,all,0.3411850035190582,32910.9897943271,0.9317861141494944,-0.002073643438567716,0.0017960965203203962,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,10,KMeans,labeled_only,0.3436398506164551,18325.942394296864,0.9247004838010771,-0.00017758690077439095,0.002793200547246946,0.13558399128777565
BetaVAE_b2.0,mel,16,2.0,0.001,60,10,GMM,all,0.27035942673683167,18571.988695906235,1.4851433690195892,-0.0010125335541011327,0.0020823338249828147,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,10,GMM,labeled_only,0.26923006772994995,10288.222112820167,1.4933745649483794,9.014593744582905e-05,0.0033188056460802477,0.13767129503584719
BetaVAE_b2.0,mel,16,2.0,0.001,60,18,KMeans,all,0.3030071556568146,27884.58030084098,0.9927325880526277,-0.0017953592433139981,0.0028140270784440917,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,18,KMeans,labeled_only,0.3025065064430237,15465.368767644408,0.9930905466074679,-0.00028530800128529805,0.004422986134453195,0.13848806606770125
BetaVAE_b2.0,mel,16,2.0,0.001,60,18,GMM,all,0.19739852845668793,16554.795682242246,1.2239076889234395,-0.0010272508616323876,0.002720510952146806,0.44957290573954745
BetaVAE_b2.0,mel,16,2.0,0.001,60,18,GMM,labeled_only,0.19720588624477386,9094.537287562494,1.2244872864413194,-0.0002062455719984827,0.0043628744359551766,0.13984935112079136
BasicVAE,mel,32,1.0,0.001,60,2,KMeans,all,0.656784176826477,32134.168126930253,0.5641140478521924,0.00016409165163914428,0.0002221574859277936,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,2,KMeans,labeled_only,0.6559273600578308,17643.524234984532,0.5639497870396638,0.0006263026143696124,0.0003542121828698003,0.12433070151556402
BasicVAE,mel,32,1.0,0.001,60,2,KMeans,language,0.656784176826477,32134.168126930253,0.5641140478521924,-1.3651696665526176e-05,1.651966252043356e-05,0.5020230780758279
BasicVAE,mel,32,1.0,0.001,60,2,GMM,all,0.5612759590148926,25908.280876306355,0.6813135412177801,-0.00047269280173186263,0.00020463912109881213,0.44957290573954745
BasicVAE,mel,32,1.0,0.001,60,2,GMM,labeled_only,0.5630571842193604,14374.284136791686,0.6787968694980142,0.00020193015071839874,0.0003260683200218853,0.1233324258099646
