model,eval_type,k,method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity,method_error
Easy-BasicVAE,language,2,KMeans,0.5980445742607117,28502.702915222893,0.6215286451277229,0.0005819846719574571,0.0007794777217913396,0.5124132074529197,
Easy-BasicVAE,language,2,GMM,0.5153961181640625,24246.94837485813,0.7017022037483626,1.1123589847914586e-05,4.8434857013804016e-05,0.5038213696987861,
Easy-BasicVAE,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Easy-BasicVAE,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Easy-BasicVAE,genre_all,10,KMeans,0.4285750389099121,69332.78008465905,0.6362771057276427,0.021653333429444088,0.09067828177162182,0.44957290573954745,
Easy-BasicVAE,genre_all,10,GMM,0.02740551345050335,9938.54913617303,2.2261419203270263,0.15752919149736297,0.29879451719451955,0.540986063239922,
Easy-BasicVAE,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Easy-BasicVAE,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Easy-BasicVAE,genre_labeled,18,KMeans,0.42803892493247986,59683.01640963661,0.6393280168261954,0.05331849197018107,0.13703818037646257,0.26681187040566295,
Easy-BasicVAE,genre_labeled,18,GMM,0.03597167134284973,6663.193943452636,3.711890926039887,0.1507480707297836,0.21282224884665715,0.3625555858063345,
Easy-BasicVAE,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Easy-BasicVAE,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,language,2,KMeans,0.6554399728775024,26902.396077611185,0.6181699243648926,0.0552126268239378,0.10526245165646998,0.6175133623058094,
Medium-ConvVAE,language,2,GMM,0.5371363162994385,17616.201292603655,0.8140676094327038,0.06929606193040583,0.09359430865202409,0.6316499325640641,
Medium-ConvVAE,language,2,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,language,2,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,genre_all,10,KMeans,0.42937183380126953,42746.06204971801,0.7486887338673617,0.019324409146946223,0.1426891274253371,0.4839902093011639,
Medium-ConvVAE,genre_all,10,GMM,-0.0475623719394207,7965.287697336422,6.08676716069637,0.08320033620498118,0.22138792758687537,0.5371397172685949,
Medium-ConvVAE,genre_all,10,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,genre_all,10,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,genre_labeled,18,KMeans,0.32223886251449585,22792.558763025776,0.8234532423741863,0.04503669724545545,0.11828209022085544,0.2605499591614484,
Medium-ConvVAE,genre_labeled,18,GMM,-0.12573541700839996,2782.1229358700602,4.828321644622586,0.09774451108003938,0.18306666769555777,0.3321535529539886,
Medium-ConvVAE,genre_labeled,18,AgglomerativeWard,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-ConvVAE,genre_labeled,18,AgglomerativeComplete,,,,,,,Agglomerative skipped for n>8000 to avoid O(n^2) runtime/memory
Medium-HybridVAE,language,2,KMeans,0.7882142066955566,152367.09666213262,0.2928637162998492,0.9912272370907742,0.9776398344911679,0.9978020880163845,
