SS,CHI,DBI,ARI,NMI,Purity,method,task,model,k,eval_type
0.7623,2171.0161,0.2706,-0.0000,0.0000,0.5006,Agglom-Complete,Easy-BasicVAE,"BasicVAE(MFCC,v2)",2,language
0.4257,69259.1450,0.6430,0.0526,0.1321,0.4547,KMeans,Easy-BasicVAE,"BasicVAE(MFCC,v2)",10,genre_all
0.4016,22952.6770,0.7252,0.0619,0.1464,0.2608,Agglom-Complete,Easy-BasicVAE,"BasicVAE(MFCC,v2)",18,genre_labeled
0.4777,28589.3172,0.7552,0.0003,0.0003,0.5094,KMeans,Hard-BetaVAE,"BetaVAE(Combined,v2)",2,language
0.2653,14651.5798,1.1719,0.1308,0.2876,0.5609,KMeans,Hard-BetaVAE,"BetaVAE(Combined,v2)",10,genre_all
0.2374,8605.3045,1.1592,0.1076,0.2199,0.3743,KMeans,Hard-BetaVAE,"BetaVAE(Combined,v2)",18,genre_labeled
0.8518,4459.5083,0.3298,0.0001,0.0083,0.5038,Agglom-Ward,Hard-CVAE,"CVAE(Combined+LangGenre,v2)",2,language
0.6596,1929.9778,2.4062,0.0537,0.1301,0.5014,GMM,Hard-CVAE,"CVAE(Combined+LangGenre,v2)",10,genre_all
0.5422,1367.0314,0.5028,0.0051,0.1671,0.2307,GMM,Hard-CVAE,"CVAE(Combined+LangGenre,v2)",18,genre_labeled
0.6236,11450.9079,0.5137,0.0029,0.0155,0.5270,Agglom-Complete,Medium-ConvVAE,"ConvVAE(Mel,v2)",2,language
0.4084,12982.9651,0.7933,0.0176,0.1158,0.4559,Agglom-Complete,Medium-ConvVAE,"ConvVAE(Mel,v2)",10,genre_all
0.3948,8048.0403,0.7177,0.0672,0.1634,0.2584,Agglom-Complete,Medium-ConvVAE,"ConvVAE(Mel,v2)",18,genre_labeled
0.4979,27742.4703,0.7754,0.4842,0.4126,0.8479,KMeans,Medium-HybridVAE,"HybridVAE(Mel+Lyrics,v2)",2,language
0.3853,18247.8110,0.8909,0.4132,0.6047,0.7368,KMeans,Medium-HybridVAE,"HybridVAE(Mel+Lyrics,v2)",10,genre_all
0.3885,6631.0496,0.8636,0.4364,0.6657,0.7537,KMeans,Medium-HybridVAE,"HybridVAE(Mel+Lyrics,v2)",18,genre_labeled
0.3894,17365.4255,1.0102,0.0194,0.0142,0.5698,KMeans,Hard-MultiModalVAE,"MultiModalVAE(Comb+Lyrics,v2)",2,language
0.2602,10486.1671,1.0975,0.1852,0.3575,0.6042,KMeans,Hard-MultiModalVAE,"MultiModalVAE(Comb+Lyrics,v2)",10,genre_all
0.2111,5866.1801,1.2080,0.1096,0.2340,0.4056,KMeans,Hard-MultiModalVAE,"MultiModalVAE(Comb+Lyrics,v2)",18,genre_labeled
0.1259,3237.1953,2.4115,0.0133,0.0097,0.5579,KMeans,Baseline-PCA32-combined,PCA32(Combined),2,language
0.0639,1255.5959,2.5866,0.2176,0.4158,0.6514,KMeans,Baseline-PCA32-combined,PCA32(Combined),10,genre_all
0.0909,215.1147,2.6373,0.0724,0.1830,0.3023,Agglom-Complete,Baseline-PCA32-combined,PCA32(Combined),18,genre_labeled
0.2622,1746.8382,2.0779,0.0009,0.0034,0.5155,Agglom-Complete,Baseline-PCA32-mfcc,PCA32(MFCC),2,language
0.1047,1660.0599,2.2638,0.1798,0.3573,0.5911,KMeans,Baseline-PCA32-mfcc,PCA32(MFCC),10,genre_all
0.0543,595.5758,2.4697,0.1411,0.2583,0.4097,KMeans,Baseline-PCA32-mfcc,PCA32(MFCC),18,genre_labeled
0.7495,2171.0161,0.2706,-0.0000,0.0000,0.5006,Agglom-Complete,Easy-BasicVAE,BasicVAE,2,language
0.4273,69259.1450,0.6430,0.0526,0.1321,0.4547,KMeans,Easy-BasicVAE,BasicVAE,10,genre_all
0.4009,56740.2004,0.6955,0.0511,0.1323,0.2648,KMeans,Easy-BasicVAE,BasicVAE,18,genre_labeled
0.6216,17234.0967,0.4934,0.0093,0.0335,0.5483,Agglom-Ward,Medium-ConvVAE,ConvVAE,2,language
0.4230,17988.9573,0.7937,-0.0122,0.1056,0.4535,Agglom-Complete,Medium-ConvVAE,ConvVAE,10,genre_all
0.4175,11562.2751,0.7386,0.0560,0.1428,0.2574,Agglom-Complete,Medium-ConvVAE,ConvVAE,18,genre_labeled
0.5265,30505.8631,0.7263,0.6172,0.5121,0.8928,Agglom-Ward,Medium-HybridVAE,HybridVAE,2,language
0.4440,31206.9574,0.8280,0.4804,0.7556,0.8768,KMeans,Medium-HybridVAE,HybridVAE,10,genre_all
0.4170,11403.3100,0.8359,0.5478,0.7366,0.8433,KMeans,Medium-HybridVAE,HybridVAE,18,genre_labeled
0.4587,25301.3284,0.8355,0.0051,0.0037,0.5358,KMeans,Hard-MultiModalVAE,MultiModalVAE,2,language
0.2396,11117.1564,1.2378,0.1565,0.3041,0.5826,KMeans,Hard-MultiModalVAE,MultiModalVAE,10,genre_all
0.2183,6256.3772,1.1557,0.1114,0.2301,0.4007,KMeans,Hard-MultiModalVAE,MultiModalVAE,18,genre_labeled
